type,name,eng_name,cocktail_contents,recipe_contents
alcohol,네그로니,Negroni,이탈리아의 네그로니 백작에서 유래한 진 베이스의 칵테일로서 한번도 빠짐없이 공식 레시피에 올랐습니다.,1.올드 패션드 그라스에 위의 재료를 넣는다.\n2.오렌지 슬라이스로 장식한다.
alcohol,다이키리,Daiquiri,철광산 노동자들에게 배급되는 럼에 다양한 재료를 혼합해서 만든 음료에서 유래됐습니다.,1.얼음을 갈아 마티니 글라스에 따른다.\n2.체리나 라임으로 장식한다
alcohol,드라이 마티니,Dry Martini,진 베이스의 역사가 오래된 클래식 칵테일로서 칵테일의 왕으로 불리고 있습니다.,1.진과 베르무트를 넣고 잘 젓는다.\n2.차갑게 식힌 마티니 글라스에 얼음을 걸러내고 따라준다.\n3.레몬 껍질로 오일을 뿌리거나 올리브로 장식
alcohol,라모스 피즈,Ramos Fizz,한 잔을 제조하는데 12분이 걸리는 칵테일로 유명하며 현재는 여러가지 방법이 개발되어 12분까지는 걸리지 않는다고합니다.,1.소다수를 제외한 재료들을 얼음과 함께 2분동안 쉐이킹한다.\n2.얼음을 걸러낸 후 다시 1분동안 셰이킹한다.\n3.하이볼 글라스에 따르고 소다수로 잔을 채워준다.
alcohol,라스트 워드,Last Word,미국의 유명한 코미디언이 공연의 마지막을 낭독으로 끝마친다는 사실을 특징삼아 만들어진 칵테일로서 미국 전역에서 유행했습니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.진에서 라이 위스키로 바꾸고 라임주스 대신 레몬주스를 사용하면 '파이널워드(Final Word)가 된다.'
alcohol,러스티 네일,Rusty Nail,재료와 레시피가 무척 간단하지만 그만큼 재료의 질이 중요한 칵테일입니다. 녹슨 못이라는 의미의 명칭은 칵테일의 색깔을 비유한 것입니다.,1.위의 재료들을 얼음과 함께 올드 패션드 글라스에 순서대로 따라준다.\n2.가볍게 저어준다.\n3.단 맛을 좋아하면 드람뷔를 더 넣어도 된다.
alcohol,마르티네스,Martinez,진을 베이스로 하며 마티니와 맨해튼의 중간 형태를 갖고있습니다. 제조에 따라 기원과 레시피가 다양합니다,1.위의 재료들을 얼음과 함께 믹싱 글라스에 넣고 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,맨해튼,Manhattan,위스키 베이스로 칵테이르이 여왕이라고 불리고 있습니다. 달콤한 맛이 좋기때문에 식전주로도 분류됩니다.,1.위의 재료들을 얼음과 함께 믹싱 글라스에 넣고 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.체리로 장식한다.
alcohol,메리 픽포드,Mary Pickford,럼 베이스로 금주법시대에 탄생한 클래식 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 없지만 체리를 사용하는 경우가 많다.
alcohol,몽키 글랜드,Monkey Gland,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 없지만 저민 오렌지 또는 오렌지 껍질로 해도 좋다.
alcohol,불바디에,Boulevardier,진 베이스의 칵테일입니다.,1.믹싱 글라스에 모든 재료를 투입하여 얼음과 한께 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.오렌지 필을 장식해준다.
alcohol,뷰 카레,Vieux Carre,진 베이스의 칵테일입니다.,1.믹싱 글라스에 모든 재료를 투입하여 얼음과 한께 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.체리와 오렌지 필로 장식해준다.
alcohol,브랜디 크러스타,Brandy Crusta,진 베이스의 칵테일입니다.,1.오렌지나 레몬 조각을 잔 테두리에 문질러 설탕을 리밍한다.\n2.믹싱 글라스에 모든 재료를 투입하여 얼음과 한께 휘젓는다.\n3.얼음을 걸러내고 마티니 글라스에 따라준다.\n4.오렌지나 레몬 반개 만큼의 껍질을 깎아 동그랗게 말아 넣어준다.
alcohol,비트윈 더 시트,Between the Sheets,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,사이드카,Sidecar,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 칵테일 글라스에 따라준다.
alcohol,사제락,Sazerac,진 베이스의 칵테일입니다.,1.차갑게 식힌 올드 패션드 클라스에 압생트를 따른다.\n2.얼음을 넣어 차갑게 식혀준다.\n3.믹싱 글라스에 각성탕과 비터를 넣고 각설탕을 으깨준다음 꼬냑을 넣고 얼음과 함께 휘젓고 얼음은 걸러낸다.\n4.올드 패션드 글라스에 있는 얼음과 압생트를 버리고 믹싱 글라스에 있는 음료를 따른다.\n5.레몬으로 장식한다.
alcohol,스팅어,Stinger,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.원한다면 민트 잎으로 장식한다.
alcohol,아메리카노,Americano,진 베이스의 칵테일입니다.,1.탄산수를 제외한 재료들을 올드 패션드에 부어준 다음 탄산수로 채워준다.\n2.레몬껍질이나 오렌지로 장식한다.
alcohol,알렉산더,Alexander,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.넛맥가루를 안에 뿌려 장식한다.
alcohol,애비에이션,Aviation,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 칵테일 글라스에 따라준다.\n3.원한다면 체리로 장식한다.
alcohol,엔젤 페이스,Angel Face,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 없지만 오렌지나 사과조각을 넣어도 좋다.
alcohol,올드 패션드,Old Fashioned,진 베이스의 칵테일입니다.,1.잔 위에 각설탕을 넣고 앙고스투라 비터를 넣어준다.\n2.미네랄 워터로 채우고 각설탕을 으깨어 섞어준다.\n3.글라스를 가득 채울 수 있을만큼 커다란 얼음을 넣어준다.\n4.위스키를 따라준 후 휘젓는다.\n5.오렌지나 체리로 장식한다.
alcohol,위스키 사워,Whisky Sour,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.레몬과 체리로 장식한다.
alcohol,존 콜린스,John Collins,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 넣고 가볍게 저어준다.\n2.레몬과 체리로 장식한다.
alcohol,진 피즈,Gin Fizz,진 베이스의 칵테일입니다.,1.탄산수를 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 하이볼 글라스에 따라준다.\n3.탄산수로 채워주고 레몬으로 장식한다.
alcohol,카지노,Casino,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.오렌지와 체리로 장식한다.
alcohol,클로버 클럽,Clover Club,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.라즈베리로 장식한다.
alcohol,턱시도,Tuxedo,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께넣어 가볍게 저어준다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.레몬을 짜내어 에센스를 뿌린 후 체리와 함께 장식한다.
alcohol,파라다이스,Paradise,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,포르토 플립,Porto Flip,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.넛맥가루를 뿌려준다.
alcohol,플랜터즈 펀치,Planter’s Punch,진 베이스의 칵테일입니다.,1.위의 재료들을 트로피컬 테라코타 글라스 또는 텀블러 글라스에 부어준 후 잘 저어준다.\n2.취향에 따라 음료나 물 또는 얼음을 섞으면 된다.
alcohol,행키팽키,Hanky-Panky,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 믹싱 글라스에 넣어준 후 저어준다.\n2.얼음을 걸러내고 마티니 글라스에 따라준다.\n3.오렌지로 장식한다.
alcohol,화이트 레이디,White Lady,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 존재하지 않지만 레몬으로 장식해도 좋다.
alcohol,골든 드림,Golden Dream,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,그래스호퍼,Grasshopper,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 존재하지 않지만 민트 잎으로 장식해도 좋다.
alcohol,데킬라 선라이즈,Tequila Sunrise,진 베이스의 칵테일입니다.,1.얼음이 든 하이볼 글라스에 데킬라와 오렌지 주스를 따라준 후 그레나딘 시럽을 천천히 부어준다.\n2.오렌지와 체리로 장식한다.
alcohol,롱 아일랜드 아이스 티,Long Island Iced Tea,진 베이스의 칵테일입니다.,1.콜라를 제외한 위의 재료들을 얼음이 담긴 하이볼 글라스에 모두 부어준다.\n2.콜라를 잔에 가득 부어준 다음 레몬으로 장식한다.
alcohol,마가리타,Margarita,진 베이스의 칵테일입니다.,1.마가리타 글라스의 테두리의 반만 소금으로 리밍한 다음 차갑게 식혀준다.\n2.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n3.얼음을 걸러내고 아까 전에 리밍한 마가리타 글라스에 따라준다.
alcohol,마이타이,Mai-Tai,진 베이스의 칵테일입니다.,1.위의 재료들을 간얼음과 함께 10초정도 쉐이킹한다.\n2.올드 패션드 글라스나 하이볼 글라스에 따라준다.\n3.파인애플과 라임 그리고 민트 잎으로 장식한다.
alcohol,모스코 뮬,Moscow Mule,진 베이스의 칵테일입니다.,1.보드카와 진저 비어를올드 패션드 글라스에 부어준 다음 라임주스를 얼음과 함께 넣어주고는 잘 저어준다.\n2.라임으로 장식한다.
alcohol,모히토,Mojito,진 베이스의 칵테일입니다.,1.잔에 민트와 라임즙 그리고 설탕을 섞은 다음 탄산수를 약간 넣은 후 얼음으로 잔을 채운다.\n2.럼을 부어주고 탄산수로 잔을 채워 부드럽게 저어준다.
alcohol,미모사,Mimosa,진 베이스의 칵테일입니다.,1.플루트 글라스에 오렌지 주스와 와인을 순서대로 부어준다.\n2.마실 때에는 섞지 않고 마셔주는 것을 추천한다.
alcohol,민트 줄렙,Mint Julep,진 베이스의 칵테일입니다.,1.스테인리스 스틸컵에 설탕과 민트 잎을 넣은다음 살살 으깨준다.\n2.간얼음을 잔에 가득 담고 비번 위스키를 부어준다.
alcohol,베스퍼,Vesper,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.레몬으로 장식한다.
alcohol,벨리니,Bellini,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께넣어 가볍게 저어준다.\n2.얼음을 걸러내고 차갑게 식힌 플루트 글라스에 따라준다.
alcohol,블랙 러시안,Black Russian,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 온더락 글라스에 부어준 다음 저어준다.\n2.저어 마사지 않을 경우 3가지 층의 맛을 느낄 수 있다.
alcohol,블러디 메리,Bloody Mary,진 베이스의 칵테일입니다.,1.위의 재료들을 모두 하이볼 글라스에 부어준다.\n2.셀러리스틱과 레몬으로 장식한다.
alcohol,샴페인 칵테일,Champagne Cocktail,진 베이스의 칵테일입니다.,1.샴페인 글라스에 각설탕을 넣고 으깨준다.\n2.코냑을 넣은다음 샴페인을 천천히 부어준다.\n3.오렌지와 체리로 장식한다.
alcohol,섹스 온 더 비치,Sex on the Beach,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 하이볼 글라스에 부어준다.\n2.오렌지로 장식한다.
alcohol,시 브리즈,Sea Breeze,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 하이볼 글라스에 부어준다.\n2.오렌지와 체리로 장식한다.
alcohol,싱가폴 슬링,Singapore Sling,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 허리케인 글라스에 따라준다.\n3.파인애플과 체리로 장식한다.
alcohol,아이리시 커피,Irish Coffee,진 베이스의 칵테일입니다.,1.뜨거운커피에 아이리시위스키와 설탕을 넣고 잔에 따라준다음 설탕이 녹을때까지 잘 저어준다.\n2.크림을 위에 섞이지않도록 플로팅해준다.
alcohol,좀비,Zombie,진 베이스의 칵테일입니다.,1.위의 재료들을 간얼음과 함께 섞어준다음 텀블러 글라스에 따라준다.\n2.민트 잎으로 장식한다.
alcohol,카이피리냐,Caipirinha,진 베이스의 칵테일입니다.,1.더블 올드 패션드 글라스 안에 라임조각과 설탕을 넣은다음 으깨준다.\n2.라임이 적당히 으깨지면 간얼음과 카샤사를 넣고 약하게 저어준다.
alcohol,코스모폴리탄,Cosmopolitan,진 베이스의 칵테일입니다.,1.위의 재료들을 간얼음과 함께 10초정도 쉐이킹한다.\n2.마티니 글라스에 따라준후 레몬으로 장식한다.
alcohol,콥스 리바이버 No.2,Corpse Reviver No.2,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.오렌지로 장식한다.
alcohol,쿠바 리브레,Cuba Libre,진 베이스의 칵테일입니다.,1.위의 재료들을 모두 하이볼 글라스에 부어준다.\n2.라임으로 장식한다.
alcohol,키르,KIR,진 베이스의 칵테일입니다.,1.크렘 드 카시스를 샴페인 글라스에 부어준다.\n2.화이트 와인을 부어 잘 섞어준다.
alcohol,프렌치 75,French 75,진 베이스의 칵테일입니다.,1.샴페인을 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 샴페인 플루트 글라스에 따라준다.\n3.샴페인을 조심스레 따라준다.\n4.원한다면 레몬으로 장식한다.
alcohol,프렌치 커넥션,French Connection,진 베이스의 칵테일입니다.,1.위 재료를 얼음과 함께 온더락 글라스에 순서대로 넣고 저어준다.
alcohol,피나 콜라다,Pina Colada,진 베이스의 칵테일입니다.,1.위 재료를 얼음과 함께 저어준다.\n2.커다란 잔에 따라주고 파인애플과 체리로 장식한다.
alcohol,피스코 사워,Pisco Sour,진 베이스의 칵테일입니다.,1.비터를 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 고블렛 글라스에 따라준다.\n3.아마르고 비터로 장식하면 완성
alcohol,헤밍웨이 스페셜,Hemingway Special,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 커다란 마티니 글라스에 따라준다.
alcohol,홀시스 넥,Horse’s Neck,진 베이스의 칵테일입니다.,1.레몬을 돌려가며 껍질을 모두 벗겨내 얼음과 함께 하이볼 글라스에 넣어준다.\n2.브랜디를 붓고 진저에일로 잔을 가득 채워준다.
alcohol,네이키드 앤 페이머스,Naked and Famous,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,뉴욕 사워,New York Sour,진 베이스의 칵테일입니다.,1.레드와인을 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.차가운 올드 패션드 글라스에 얼음과 같이 따른다.\n3.위에 와인을 플로팅한다.\n4.레몬이나 오렌지 또는 체리로 장식한다.
alcohol,다크 앤 스토미,Dark ‘n’ Stormy,진 베이스의 칵테일입니다.,1.얼음과 함께 하이볼 글라스에 다크 럼을 부어준다.\n2.위에 진저에일을 따라준다음 살짝 저어준다.\n3.라임으로 장식한다.
alcohol,러시안 스프링 펀치,Russian Spring Punch,진 베이스의 칵테일입니다.,1.스파클링 와인을 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 텀블러 글라스에 따라준다.\n3.스파클링 와인으로 잔을 가득 채워준다.\n4.블랙베리나 레몬으로 장식한다.
alcohol,레몬 드롭 마티니,Lemon Drop Martini,진 베이스의 칵테일입니다.,1.레몬 반개를 짜낸 후 남은 레몬을 잔 테두리에 바르고 설탕을 리밍한다.\n2.나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n3.리밍한 잔에 부어준다.\n4.원한다면 레몬으로 장식한다.
alcohol,바라쿠다,Barracuda,진 베이스의 칵테일입니다.,1.프로세코 와인을 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 하이볼 글라스에 따라준다.\n3.프로세코 와인으로 잔을 채워준다.\n4.파인애플이나 체리로 장식한다.
alcohol,VE.N.TO,VE.N.TO,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 텀블러 글라스에 따라준다.\n3.레몬이나 청포도로 장식한다.
alcohol,브램블,Bramble,진 베이스의 칵테일입니다.,1.크렘 드 뮤레를 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 간얼을이 담겨 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.잔 위를 간얼음으로 가득 덮어주고 크렘 드 뮤레를 간얼음 위에 천천히 부어준다.\n4.레몬과 블랙베리로 장식한다.
alcohol,비스 니즈,Bee’s Knees,진 베이스의 칵테일입니다.,1.허니 시럽과 레몬 주스, 오렌지 주스를 섞어 꿀을 녹여준 다음 드라이 진과 함께 얼음을 넣고 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.레몬으로 장식한다.
alcohol,사우스사이드,Southside,진 베이스의 칵테일입니다.,1.민트 잎을 포함한 위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.민트 잎으로 장식한다.
alcohol,서퍼링 바스타드,Suffering Bastard,진 베이스의 칵테일입니다.,1.진저 비어를 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음 채로 바스타드 전용 머그컵에 따라주고 진저 비어를 잔에 가득 채워준다.\n3.민트 잎으로 장식하고 원한다면 오렌지도 함께 장식한다.
alcohol,스파이시 피프티,Spicy Fifty,진 베이스의 칵테일입니다.,1.홍고추를 포함한 위의 재료들을 얼음과 함께 10초간 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.홍고추로 장식한다.
alcohol,아페롤 스프리츠,Aperol Spritz,진 베이스의 칵테일입니다.,1.탄산수를 제외한 위의 재료들을 얼음이 담겨진 와인 글라스에 부어준다.\n2.탄산수를 부어준 다음 오렌지나 오렌지껍질로 장식한다.
alcohol,에스프레소 마티니,Espresso Martini,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,옐로 버드,Yellow Bird,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,올드 쿠반,Old Cuban,진 베이스의 칵테일입니다.,1.와인을 제외한 나머지 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.스파클링 와인을 따라주고 민트 잎으로 장식한다.
alcohol,일레갈,Illegal,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,칸찬차라,Canchanchara,진 베이스의 칵테일입니다.,1.꿀과 물, 라임 주스를 섞어 잔에 따른 후 잔 벽에 골고루 묻혀준다.\n2.간얼음을 잔에 넣고 럼을 부어주며 잘 섞이도록 저어준다.
alcohol,토미스 마가리타,Tommy’s Margarita,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.라임으로 장식한다.
alcohol,트리니다드 사워,Trinidad Sour,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,티퍼러리,Tipperary,진 베이스의 칵테일입니다.,1.위의 재료들을 믹싱 글라스에 넣고 얼음과 함께 저어준다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.오렌지로 장식한다.
alcohol,팔로마,Paloma,진 베이스의 칵테일입니다.,1.하이볼 글라스에 데킬라와 라임 주스를 부어준다.\n2.얼음과 소금을 넣고 자몽소다를 잔에 가득 채운 후 저어준다.\n3.라임으로 장식한다.
alcohol,페니실린,Penicillin,진 베이스의 칵테일입니다.,1.생강을 포함해 라가불린을 제외한 모든 재료를 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 올드 패션드 글라스에 따라준다.\n3.리가불린 16년을 플로팅하고 없다면 아일라 위스키로 대체한다.\n4.진저캔디로 장식한다.
alcohol,페르난디토,Fernandito,진 베이스의 칵테일입니다.,1.더블 올드 패션드 글라스에 얼음을 채운 후 페르넷 브랑카를 부어준다.\n2.그 위에 콜라를채우고 탄산이 빠지지않도록 살살 저어준다.\n3.원한다면 레몬으로 장식한다.
alcohol,페이퍼 플레인,Paper Plane,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,프렌치 마티니,French Martini,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.레몬을 뿌리고 라즈베리와 함께 장식한다.
nonalcohol,버진 피나 콜라다,Virgin Pina Colada,피나 콜라다의 무알콜 버전입니다.,1.믹서기에 으깬 얼음을 넣는다.\n2.코코넛밀크(또는 코코넛크림이나 코코넛시럽)과 파인애플주스를 추가한다.\n3.부드러워질 때까지 갈아서 허리케인 잔에 붓는다.\n4.휘핑크림으로 플로팅하고 파일애플과 체리로 장식한다.
nonalcohol,셜리 템플,Shirley Temple,미국의 아역배우 셜리 템플을 위해 만들어진 심플하고 대중적인 무알콜칵테일입니다.,1.콜린스 잔에 얼음을 채운다.\n2.진저에일과 레몬에이드를 부어준다(진저에일만 넣는다면 레몬에이드 만큼의 양을 더 넣는다).\n3. 그레나딘 시럽을 넣고 잘 저어준다.\n4.체리로 장식한다.
nonalcohol,로이 로저스,Roy Rogers,미국의 배우이자 가수인 로이 로저스의 이름을 딴 상쾌한 무알콜 칵테일입니다.,1.얼음과 함께 위 재료들을 넣고 잘 저어준다.\n2.체리로 장식한다.