name,eng_name,type,degree,image,contents
골드 럼,Gold rum,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/057.%EA%B3%A8%EB%93%9C%EB%9F%BC.png,"사탕수수에서 설탕을 만들고 난 찌꺼지인 당밀(Molasses)를 이용하여 증류시켜 만든 증류주로 골드 럼은 앰버 럼으로도 불리며 연한 갈색에 깊은 맛이 특징이다. 2년간 태운 오크통에서 숙성되며 카라멜향과 바닐라, 너츠 등의 향미를 냅니다."
골드슐라거,Goldschlager,strong,43,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/058.%EA%B3%A8%EB%93%9C%EC%8A%90%EB%9D%BC%EA%B1%B0.png,"금박기술자라는 뜻으로 금박이 들어있는 높은 도수의 스위스 계피 리큐르"
꼬냑,Cognac,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/013.%EA%BC%AC%EB%83%9190.png,"프랑스 꼬냑 지방에서 생산되는 브랜디로 2번 증류하고 오크통에서 최소 2년 동안 숙성됩니다. 꼬냑 지방의 포도주가 맛이 빨리 변하기 때문에 오랬동안 저장할 수가 없어 증류했던 것이 오늘날 브랜디를 만들게되었습니다."
다크 럼,Dark rum,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/018.%EB%8B%A4%ED%81%AC%EB%9F%BC.png,"사탕수수에서 설탕을 만들고 난 찌꺼기인 당밀(Molasses)를 이용하여 발효, 증류시켜 만든 증류주. 다크럼은 스모키한 풍미를 위해 그을린 오크통에서 숙성되어 짙은 갈색에 맛과 향이 매우 강하게 느껴진다."
데킬라 골드,Tequila gold,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/070.%EB%8D%B0%ED%82%AC%EB%9D%BC%EA%B3%A8%EB%93%9C.png,"데킬라는 용설란의 일종으로 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술로 골드 데킬라는 이중 증류와 오크통에서 숙성시키는 특징이 있다."
데킬라 레포사도,Tequila Reposado,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/e95b74ef-e75b-47f9-85c2-0e9ccc959e46b76f44b6b4e35ff1e9668e919.png,"데킬라는 용설란의 일종인 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술이다. 레포사도는 오크통에 2개월 이상 숙성하여 약간 갈색을 띄고있다."
데킬라 블랑코,Tequila blanco,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/037.%EB%8D%B0%ED%82%AC%EB%9D%BC%EB%B8%94%EB%9E%91%EC%BD%94.png,"데킬라는 용설란의 일종으로 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술로 데킬라 블랑코는 화이트 데킬라로 불리며 무색, 투명하여 칵테일에 주로 사용됩니다. 가볍고 샤프한 맛으로 용설란을 발효시킨 후 단식증류기로 두 번 증류하여 스테인레스 통에 단기간 저장한다."
데킬라 아네호,Tequila Anejo,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/0da0b8dc-0b47-4a53-a3db-3f590dafc46eb76f44b6b4e35ff1e9668e91a.png,"데킬라는 용설란의 일종인 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술이다. 아네호는 오크통에서 1년 이상 숙성되어 향과 맛이 더 부드럽고 풍부한 고급 데킬라이다."
드람부이,Drambuie,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/019.%EB%93%9C%EB%9E%8C%EB%B6%80%EC%9D%B490.png,"몰트 위스키, 허브, 향신료 및 꿀로 만든 달콤한 스코트랜드 리큐르. 스코틀랜드의 고대 게릭어인 Dram Buid Heach로 사람을 만족시키는 음료라는 뜻이다."
라이 위스키,Rye whiskey,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/035.%EB%9D%BC%EC%9D%B4%EC%9C%84%EC%8A%A4%ED%82%A4.png,"라이(호밀) 51% 이상을 주재료로 곡물로 만든 위스키로, 발아시키지 않은 호밀과 맥아 또는 발아 호밀을 혼합해 만든 증류주입니다. 버번위스키와 색이 비슷하지만 맛과 향이 다릅니다."
버번 위스키,Bourbon whiskey,strong,45,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/008.%EB%B2%84%EB%B2%88%EC%9C%84%EC%8A%A4%ED%82%A4.png,"옥수수와 호밀로 만든 아메리칸 위스키의 한 종류로, 미국 켄터키주의 버번지방을 중심으로 생산된 옥수수를 51% 이상 사용하여 만든 증류주다."
베네딕틴 D.O.M,Benedictine D.O.M,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/006.%EB%B2%A0%EB%84%A4%EB%94%95%ED%8B%B4.png,"다양한 약초와 허브, 과일 껍질 등으로 만들어진 달콤한 허브 향의 꼬냑 기반 프랑스 리큐르. D.O.M은 라틴어로 Deo Optimo Maximo(데오 옵티모 맥시모)의 약어로 최대 최선의 신에게라는 뜻으로 카라멜과 꿀이 첨가된다."
보드카,Vodka,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/038.%EB%B3%B4%EB%93%9C%EC%B9%B4.png,"주로 곡물과 감자의 증류로 만들어지는 보드카는 무색, 무미, 무취의 특징을 갖고있다. 러시아어로 Voda Boa, 생명의 물에서 유래 되었다. 12세기경 러시아의 농민에 의해 창안된 술로서 증류주로서 오랜 역사를 가지고 있다. 어떠한 음료나 부재료와 잘 조화되기 때문에 칵테일의 기주로 많이 사용된다."
보드카 시트론,Vodka citron,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/039.%EB%B3%B4%EB%93%9C%EC%B9%B4%EC%8B%9C%ED%8A%B8%EB%A1%A0.png,"보드카에 여러 가지 과실을 첨가하여 향과 맛을 더해 일반 보드카보다 약간 낮은 도수를 가진 보드카로 오렌지, 레몬, 라임 등의 감귤류가 사용됩니다."
봄베이 브램블,Bombay Bramble,strong,38,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/d45fb8dc-c460-453c-81af-0adb3123cb25b76f44b6b4e35ff1e9668e908.png,"블랙베리와 라즈베리를 인퓨징한 진으로 브램블은 나무에서 열리는 베리류를 뜻한다. 베리 특유의 풍미와 신맛을 가지고있고 단맛이 없어 달달한 음료와 섞어마시면 좋다."
봄베이 사파이어,Bombay Sapphire,strong,47,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/55c6992b-556f-464f-9bcc-f56317e362605e7e641ee43d14e631bfa2c0e.png,"유명한 진 중 하나. 47도라는 높은 도수와 일반적인 진에 비해 쥬니퍼베리와 감초 레몬 아몬드 등 10가지 재료 특유의 향이 강해 몇몇 진 베이스 칵테일에 쓰기에는 호불호가 갈린다. 물론 봄베이 특유의 향미를 응용한 봄베이 전용 칵테일도 존재한다."
브랜디,Brandy,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/009.%EB%B8%8C%EB%9E%9C%EB%94%94.png,"와인을 증류하여 만든 술로 브랜디는 꽃 향미를 가지고 있으며 증류주에 독특한 향과 색상을 주기 위해 일반적으로 나무 통에서 숙성됩니다. 숙성시간이 길수록 품질이 향상됩니다."
삼부카,Sambuca,strong,38,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/066.%EC%82%BC%EB%B6%80%EC%B9%B4.png,"아니스(Anis) 및 여러 가지 부재료가 사용되었으며 스텐레스통에서 숙성시켜 만든 무색 투명한 리큐르. 이탈리아에서는 엘더베리를 삼부카 니그라(Sambuca Nigra)라고 불러 이름을 따왔습니다."
샤르트뢰즈 그린,Chartreuse green,strong,55,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/051.%EC%83%A4%EB%A5%B4%ED%8A%B8%EB%A2%B0%EC%A6%88%EA%B7%B8%EB%A6%B0.png,"130가지 허브와 식물, 꽃으로 숙성시킨 증류주로 만든 프랑스 리큐르. 샤르트뢰즈는 프랑스 그르노블 지역에 위치한 그랑 샤르트뢰즈 수도원의 이름을 따서 명명되었습니다."
샤르트뢰즈 옐로우,Chartreuse yellow,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/074.%EC%83%A4%EB%A5%B4%ED%8A%B8%EB%A2%B0%EC%A6%88%EC%98%90%EB%A1%9C%EC%9A%B0.png,"130가지 허브와 식물, 꽃으로 숙성시킨 증류주로 만든 프랑스 리큐르. 샤르트뢰즈는 프랑스 그르노블 지역에 위치한 그랑 샤르트뢰즈 수도원의 이름을 따서 명명되었습니다. 옐로우 샤르트뢰즈는 그린 샤르트뢰즈보다 더 순하며 달콤합니다."
스카치 위스키,Scotch whiskey,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/036.%EC%8A%A4%EC%B9%B4%EC%B9%98%EC%9C%84%EC%8A%A4%ED%82%A4.png,"스코틀랜드에서 생산된 위스키의 총칭이며 위스키 생산량의 양 60%를 생산하고 있다. 보리 몰트(Malt) 60%와 기타 곡류 40%를 혼합하여 엿기름에 의해 당화, 발효시켜 스코틀랜드에서 단식 증류기로 증류하여 최소한 3년간 오크통에 넣어 저장 숙성시킨다."
슬로 진,Sloe gin,strong,25,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/067.%EC%8A%AC%EB%A1%9C%EC%A7%84.png,"유럽에서 많이 자라는 야생자두(Sloe berry, 오얏나무의 열매)를 진에 침지하여 주니퍼베리의 향을 첨가하고 설탕을 더해 만든 리큐르."
아그와,AGWA,strong,30,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/f17ed246-3853-432e-999c-9393cf369a14b76f44b6b4e35ff1e9668e90e.png,"정식 명칭은 Agwa de Bolivia 네덜란드에서 생산되는 허브 리큐르. 코카나무잎을 원료로 사용하며 녹차, 라벤더, 오이 등을 재료로 사용하여 가볍고 상쾌한 풀내음이 난다. 호리병 모양의 독특한 전용 잔이 있다."
아이리쉬 위스키,Irish whiskey,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/073.%EC%95%84%EC%9D%B4%EB%A6%AC%EC%89%AC%EC%9C%84%EC%8A%A4%ED%82%A4.png,"아일랜드에서 만들어지는 위스키의 총칭으로 세 번 증류하고 맥아 건조 과정에서 피트를 쓰지 않음으로써 전통적인 스카치 위스키나 버번 위스키보다 마시기 쉽고 익숙해지기 쉬운 맛을 구현했다."
압생트,Absinthe,strong,45,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/046.%EC%95%95%EC%83%9D%ED%8A%B8.png,"아니스(Anis)씨와 감초 그리고 향쑥 약초와 향료를 원료로 배합하여 만든 리큐르로 일명 ‘녹색요정, 녹색의 마주’라고 한다. 감초 비슷한 맛과 오팔색을 띈다. 1700년대에 처음 만들어졌으며 1800년대 후반의 위대한 예술가와 작가들 사이에서 인기와 명성을 얻었습니다."
앙고스투라 비터,Angostura bitter,strong,45,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/002.%EC%95%99%EA%B3%A0%EC%8A%A4%ED%88%AC%EB%9D%BC%EB%B9%84%ED%84%B090.png,"럼에 40~80여종의 약초와 향초를 사용해서 만든 유명한 비터로 몇방울만 사용하여 칵테일에 향을 더한다."
예거 마이스터,Jagermeister,strong,35,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/028.%EC%98%88%EA%B1%B0%EB%A7%88%EC%9D%B4%EC%8A%A4%ED%84%B0.png,"56가지 허브, 열매, 향료 등으로 만들어 특유의 허브향과 강한 단맛이 나는 짙은 갈색의 리큐르. 1934년 독일의 마스트-예거마이스트사에서 개발되었고 예거마이스트는 독일의 산림 관리인 또는 사냥터 관리인을 부르는 말이다."
오버프루프 럼,Over-proof rum,strong,70,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/033.%EC%98%A4%EB%B2%84%ED%94%84%EB%A3%A8%ED%94%84%EB%9F%BC.png,"일반 럼주 도수 2배인 매우 높은 60~75.5%를 가지고있다. 높은 알코올 함량으로 인화성이 매우 강하므로 불과 열로부터 멀리 떨어진 곳에 보관해야하고 불타는 샷으로 서빙할 때 사용된다."
올드 톰 진,Old Tom Gin,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/064.%EC%98%AC%EB%93%9C%ED%86%B0%EC%A7%84.png,"18세기 영국에서 인기를 얻은 올드 톰 진은 약간의 설탕 덕분에 드라이 진보다 조금 더 달콤합니다."
위스키,Whiskey,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/040.%EC%9C%84%EC%8A%A4%ED%82%A4.png,"위스키는 12세기경 처음으로 아일랜드에서 보리를 발효하여 증류시킨 술로 그 이후 스코틀랜드에도 유입되어 품질개발과 함께 전세계로 많이 알려지게 되었다."
잭 다니엘,Jack daniels,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/027.%EC%9E%AD%EB%8B%A4%EB%8B%88%EC%97%98.png,"잭 다니엘은 아메리칸 위스키 중에 테네시 위스키에 속하는 브랜드이다. 1866년 미국 테네시주의 린치버그에 재스퍼 뉴튼 잭 다니엘이 설립한 양조장에서 처음 탄생했다. 주로 잭콕이라는 칵테일의 형태로 콜라 등의 음료수와 함께 마시는 게 일반적이다."
진,Gin,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/023.%EC%A7%84.png,"보리 또는 옥수수와 같은 곡물을 증류하여 만든 술. 특유의 향을 지닌 주니퍼 베리로인해 소나무향이 나는 증류주이다. 주니퍼(Juniper)의 불어 주니에브르(Genievre)가 네덜란드로 전해져 제네바(Geneva)가 되고 영국으로 건너가 진(Gin)이 되었다."
칼바도스,Calvados,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/050.%EC%B9%BC%EB%B0%94%EB%8F%84%EC%8A%A4.png,"프랑스의 칼바도스 지역에서 생산되는 전통 증류주로 사과로 만드는 브랜디. 오크통에서 숙성되며 스모키한 뒷맛과 함께 매우 달콤한 사과 맛이 난다."
쿠앵트로,Cointreau,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/014.%EC%BF%A0%EC%95%B5%ED%8A%B8%EB%A1%9C90.png,"쿠앵트로는 1849년 제과업자인 아돌프 쿠앵트로와 그의 형제 에두아르 장 쿠앵트로가 처음 만든 달콤한 오렌지 맛 리큐르로 오렌지 계열의 리큐르 중 최고급이다."
피스코,Pisco,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/065.%ED%94%BC%EC%8A%A4%EC%BD%94.png,"페루 또는 칠레의 포도 브랜디로 증류를 마친 뒤 브랜디에 색이 물들지않도록 백색처리를 한 오크통에서 숙성한다."
헨드릭스 진,Hendrick's Gin,strong,44,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/ac73a470-e650-47bf-a2a8-5df1c5293cb31b084acdc75744f121af76602.png,"핸드릭스 진이라고도 불리며 오이를 주원료로 장미 꽃잎, 곡물, 11가지 허브로 만들어진 프리미엄 진이다. 장미 정원에서 오이 샌드위치를 먹다가 두 가지 재료의 아이디어를 얻었다고 한다. 장미 꽃향과 오이향이 은은하다."
화이트 럼,White rum,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/041.%ED%99%94%EC%9D%B4%ED%8A%B8%EB%9F%BC.png,"사탕수수에서 설탕을 만들고 난 찌꺼지인 당밀(Molasses)를 이용하여 증류시켜 만든 증류주로 화이트 럼은 라이트 럼, 실버 럼으로도 알려져있다. 무색투명한 럼으로 맛이 부드러워 칵테일의 기주로 많이 사용된다."
갈리아노,Galliano,weak,30,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/022.%EA%B0%88%EB%A6%AC%EC%95%84%EB%85%B8.png,"감초, 아니스, 바닐라 향을 함유한 달콤한 이탈리아 허브 리큐르로 도수는 약 30~42%이고 길쭉한 병에 담겨있다. 이탈리아 전쟁 영웅 Giuseppe Galliano의 이름에서 유래되었다."
계란 리큐르,Egg liqueur,weak,17,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/055.%EA%B3%84%EB%9E%80%EB%A6%AC%ED%81%90%EB%A5%B4.png,"브랜디를 베이스로 계란 노른자와 여러종류의 허브, 설탕을 배합하여 만든 리큐르. 바닐라향이 가미된 커스터드 향과 에그노그처럼 부드럽고 크림같은 질감이 특징으로 마시기전에 병을 잘 흔들어서 따른다."
그랑 마니에르,Grand marnier,weak,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/026.%EA%B7%B8%EB%9E%91%EB%A7%88%EB%8B%88%EC%97%90%EB%A5%B490.png,"꼬냑 베이스에 열대 오렌지 에센스의 독특한 조화를 이룬 오렌지 맛 브랜디 리큐르. 짙은 황금색과 갈색톤을 띄며 오렌지와 꽃의 섬세한 향기로 은은한 뒷 맛을 즐길 수 있다."
드라이 베르무트,Dry vermouth,weak,18,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/021.%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B2%A0%EB%A5%B4%EB%AC%B4%ED%8A%B8.png,"베르뭇, 버무스라 불리며 와인에 40여종의 약재가 포함된 혼성 포도주로 원래 식전주로 만들었찌만 칵테일용으로 많이 이용된다. 드라이 베르무트는 화이트와인을 베이스로 초근목피향 첨가로 씁쓸한 맛이 난다."
드라이 셰리,Dry sherry,weak,16,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/020.%EB%93%9C%EB%9D%BC%EC%9D%B4%EC%85%B0%EB%A6%AC.png,"선택된 포도 품종의 완전한 발효로 생산되는 15-17%도수의 와인."
레드 와인,Red wine,weak,14,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/034.%EB%A0%88%EB%93%9C%EC%99%80%EC%9D%B8.png,"적포도주로 적포도의 포도 알맹이, 껍질, 씨까지 포함하여 즙을 낸 후 발효시켜 만든 발효주. 붉은 빛을 띄고 탄닌성분이 적다. 레드 와인의 대표 종류는 멜로, 피노누아, 까베르네 쇼비뇽 및 쉬라즈입니다."
레몬 리큐르,Lemon liqueur,weak,26,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/072.%EB%A0%88%EB%AA%AC%EB%A6%AC%ED%81%90%EB%A5%B4.png,"이탈리아 아말피 해안의 스푸사토 품종의 레몬을 사용하여 만든 레몬리큐르로 리몬첼로라 불린다. 스푸사토는 껍질이 두꺼워 산도가 낮고 향이 풍부한 것이 특징이다."
릴레블랑,Lillet Blanc,weak,17,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/062.%EB%A6%B4%EB%A0%88%EB%B8%94%EB%9E%91.png,"릴레브론드로 불리는 프랑스 식전주. 와인과 과일 향이 절묘하게 섞여있어 은은한 꽃향기와 달콤한 오렌지향이 난다."
마라스키노 리큐르,Maraschino liqueur,weak,32,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/063.%EB%A7%88%EB%9D%BC%EC%8A%A4%ED%82%A4%EB%85%B8%EB%A6%AC%ED%81%90%EB%A5%B4.png,"마라스카종의 체리를 사용하여 발효시키고 세번을 증류하여 숙성시킨 후 시럽 등을 첨가하여 만든 체리맛의 리큐르."
막걸리,Makgeolli,weak,6,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/076.%EB%A7%89%EA%B1%B8%EB%A6%AC.png,"우리나라 고유한 술의 하나. 맑은 술을 떠내지않고 그대로 걸러 짠 술로 빛깔이 흐리고 맛이 텁텁하다. 과음을 하고 나면 다음날 숙취가 심합니다."
말리부 코코넛 럼,Malibu,weak,21,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/030.%EB%A7%90%EB%A6%AC%EB%B6%80.png,"자메이카산 라이트 럼에 카리브해 지역에서 생산되는 코코넛과 당분을 첨가하여 만든 무색 투명하고 달콤한 코코넛 맛의 화이트 럼."
맥주,Beer,weak,5,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/005.%EB%A7%A5%EC%A3%BC.png,"보리나 기타 곡물을 발효시켜 만든 4~6% 도수의 술로 맥주의 역사는 약 9500년으로 거슬러 올라갑니다."
미도리,Midori,weak,20,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/031.%EB%AF%B8%EB%8F%84%EB%A6%AC.png,"달콤하고 밝은 녹색의 멜론맛 리큐르로 1978년 일본에서 만들어졌고 일본어로 초록색을 의미합니다."
바나나 리큐르,Banana liqueur,weak,25,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/049.%EB%B0%94%EB%82%98%EB%82%98%EB%A6%AC%ED%81%90%EB%A5%B4.png,"럼주 또는 기타 중성 증류주를 기본으로 하며 신선한 바나나와 설탕을 첨가하여 바나나맛이 나도록 만든 리큐르"
백세주,Baekseju,weak,13,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/077.%EB%B0%B1%EC%84%B8%EC%A3%BC90.png,"찹쌀로 만든 한국의 발효술로 전통적인 방식으로 양조하며 다양한 허브, 미량의 인삼을 넣어 감미로운 맛을 낸다. 백세주라는 이름은 이 술을 마시면 백세까지도 살 수 있다해서 붙여졌다."
버터스카치 리큐르,Butterscotch liqueur,weak,15,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/048.%EB%B2%84%ED%84%B0%EC%8A%A4%EC%B9%B4%EC%B9%98.png,"버터와 흑설탕으로 만든 달콤하고 순한 리큐르로 보통 15~20% 정도의 알코올 도수입니다."
베일리스,Baileys,weak,17,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/004.%EB%B2%A0%EC%9D%BC%EB%A6%AC%EC%8A%A4.png,"아이리쉬 위스키와 크림, 벨기에 초콜릿으로 만든 크림 리큐르로 달콤하면서도 부드러운 맛이 특징입니다."
