name,address,telephone,image,lon,lat
사브서울,서울특별시 강남구 논현로175길 6 B1<br><br> 지번 서울시 강남구 신사동 580-5 B1,02-512-4939,"https://mp-seoul-image-production-s3.mangoplate.com/2196417_1649124497884742.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0279224,37.52636708
제스트,서울특별시 강남구 도산대로55길 26 하늘빌딩 1F<br><br> 지번 서울시 강남구 청담동 88-1 하늘빌딩 1F,010-3177-8801,"https://mp-seoul-image-production-s3.mangoplate.com/1047892_1635373424034393.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0407905,37.52522789
PDR,서울특별시 강남구 언주로134길 24 2F<br><br> 지번 서울시 강남구 논현동 116-1 2F,02-3444-8880,"https://mp-seoul-image-production-s3.mangoplate.com/427448/172778_1626153764162_105705?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0375917,37.51678935
피아마,서울특별시 강남구 도산대로70길 9 2F<br><br> 지번 서울시 강남구 청담동 13 2F,0507-1307-5434,"https://mp-seoul-image-production-s3.mangoplate.com/486805/1100616_1654527236870_40737?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0452468,37.52305395
화이트와인개러지,서울특별시 강남구 삼성로149길 7 B1<br><br> 지번 서울시 강남구 청담동 12-15 B1,02-540-7560,"https://mp-seoul-image-production-s3.mangoplate.com/872233_1624526933728285.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.04693,37.52322025
파인앤코,서울특별시 강남구 선릉로157길 33 B1<br><br> 지번 서울시 강남구 신사동 657 B1,0507-1335-7434,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1632494618690449.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0370523,37.52629429
임바이브,서울특별시 강남구 강남대로124길 3-9 B1<br><br> 지번 서울시 강남구 논현동 143-9 B1,02-6951-2880,"https://mp-seoul-image-production-s3.mangoplate.com/479674_1574939194465002.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0228268,37.50931416
리커테이션,서울특별시 강남구 압구정로10길 13 마사빌딩 B1<br><br> 지번 서울시 강남구 신사동 532-4 마사빌딩 B1,02-6339-5337,"https://mp-seoul-image-production-s3.mangoplate.com/158567_1556275370307233.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0220568,37.5226433
유희,서울특별시 강남구 도산대로11길 31-8 B1<br><br> 지번 서울시 강남구 신사동 518-14 B1,02-6014-9808,"https://mp-seoul-image-production-s3.mangoplate.com/716698_1670168770196085.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0217604,37.51938074
로비라운지바,서울특별시 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스 1F<br><br> 지번 서울시 강남구 삼성동 159-8 그랜드인터컨티넨탈 서울 파르나스 1F,02-559-7603,"https://mp-seoul-image-production-s3.mangoplate.com/1592769_1580093661010956.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0608069,37.50919169
복싱타이거,서울특별시 강남구 강남대로156길 13 B1<br><br> 지번 서울시 강남구 신사동 510-3 B1,02-540-2399,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1631753208375621.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.020241,37.51823718
획,서울특별시 강남구 강남대로156길 31<br><br> 지번 서울시 강남구 신사동 517-10,0507-1382-8332,"https://mp-seoul-image-production-s3.mangoplate.com/1743214_1638239238728447.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0215899,37.51880674
작,서울특별시 강남구 논현로95길 14 1F<br><br> 지번 서울시 강남구 역삼동 640-11 1F,02-501-2342,"https://mp-seoul-image-production-s3.mangoplate.com/585014_1536152409081440.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0346464,37.50237859
장생건강원,서울특별시 강남구 강남대로124길 23<br><br> 지번 서울시 강남구 논현동 145-12,070-7543-1077,"https://mp-seoul-image-production-s3.mangoplate.com/389883/449685_1600725704828_6115?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.024509,37.50937518
르챔버,서울특별시 강남구 도산대로55길 42 B1<br><br> 지번 서울시 강남구 청담동 83-4 B1,02-6337-2014,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/36223_1468173699979936.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0411279,37.52625555
심퍼티쿠시,서울특별시 강남구 강남대로154길 16 1F 101호<br><br> 지번 서울시 강남구 신사동 512-3 1F 101호,070-7661-2017,"https://mp-seoul-image-production-s3.mangoplate.com/26135_1608203299685982.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0205668,37.51761489
커피 바 K,서울특별시 강남구 언주로 517<br><br> 지번 서울시 강남구 역삼동 675-3,02-516-1970,"https://mp-seoul-image-production-s3.mangoplate.com/514/172778_1613801435628_81272?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0415199,37.50433183
와인웍스,서울특별시 강남구 압구정로 165 압구정 현대백화점 본점 B1<br><br> 지번 서울시 강남구 압구정동 429 압구정 현대백화점 본점 B1,02-3449-5490,"https://mp-seoul-image-production-s3.mangoplate.com/1379285_1587227447395381.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0274685,37.52736612
봉쥬르와인살롱,서울특별시 강남구 강남대로122길 5 유창빌딩<br><br> 지번 서울시 강남구 논현동 164-12 유창빌딩,02-547-2001,"https://mp-seoul-image-production-s3.mangoplate.com/398865/840737_1565130304248_435511?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0237322,37.50766469
와인소셜,서울특별시 강남구 압구정로46길 71-1 2F<br><br> 지번 서울시 강남구 신사동 648-23 2F,0507-1445-0604,"https://mp-seoul-image-production-s3.mangoplate.com/1296730_1647445260670511.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0368191,37.52410537
폴스타,서울특별시 강남구 도산대로45길 10-11<br><br> 지번 서울시 강남구 신사동 648-14,02-514-3450,"https://mp-seoul-image-production-s3.mangoplate.com/278041/230933_1483800780611_51015?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0368811,37.52355043
하이볼가든,서울특별시 강남구 논현로161길 39<br><br> 지번 서울시 강남구 신사동 552-3,070-8886-4636,"https://mp-seoul-image-production-s3.mangoplate.com/856498_1615443902525773.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0249701,37.52289014
바챕터원,서울특별시 강남구 논현로175길 101<br><br> 지번 서울시 강남구 신사동 525-19,02-543-0308,"https://mp-seoul-image-production-s3.mangoplate.com/321425/777189_1494139020928_34051?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0211614,37.52268113
Tea and Proof,서울특별시 강남구 양재천로 181<br><br> 지번 서울시 강남구 도곡동 454,000-0000-0000,"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/387129/894765_1621165102698?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0457579,37.48233506
트웰브,서울특별시 강남구 압구정로72길 26 B1<br><br> 지번 서울시 강남구 청담동 95-16 B1,02-548-1201,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/63176_1460723956278258.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0449956,37.5248547
루팡,서울특별시 강남구 선릉로160길 5<br><br> 지번 서울시 강남구 청담동 84-18,02-511-8418,"https://mp-seoul-image-production-s3.mangoplate.com/662924_1518330852553954.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0407721,37.52641749
셰막,서울특별시 강남구 강남대로 442 2F<br><br> 지번 서울시 강남구 역삼동 814-5 2F,02-3452-7077,"https://mp-seoul-image-production-s3.mangoplate.com/1272306_1606398292267433.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0260558,37.50206283
레커,서울특별시 강남구 선릉로146길 27-10 1F<br><br> 지번 서울시 강남구 청담동 20-2 1F,02-543-4707,"https://mp-seoul-image-production-s3.mangoplate.com/1128283_1535605868810886.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.042347,37.52241162
Bar서랍,서울특별시 강남구 압구정로34길 24 2F<br><br> 지번 서울시 강남구 신사동 613-9 2F,02-548-3484,"https://mp-seoul-image-production-s3.mangoplate.com/40495_1641421874314104.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0305916,37.52657428
벨뷰,서울특별시 강남구 선릉로152길 30 1F<br><br> 지번 서울시 강남구 청담동 91-3 1F,010-7394-8388,"https://mp-seoul-image-production-s3.mangoplate.com/341011/940132_1517899969186_5714?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0419206,37.5241772
루프탑클라우드,서울특별시 강남구 테헤란로25길 10 21F<br><br> 지번 서울시 강남구 역삼동 642 21F,02-2050-6035,"https://mp-seoul-image-production-s3.mangoplate.com/302708_1581933288095449.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0354244,37.50124165
몰트바배럴,서울특별시 강남구 삼성로104길 10 이호빌딩 2F<br><br> 지번 서울시 강남구 삼성동 151-29 이호빌딩 2F,02-568-2589,"https://mp-seoul-image-production-s3.mangoplate.com/254930/ldqovsg8zsbvgu.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.055491,37.51074962
Bar Tea Scent,서울특별시 강남구 선릉로162길 16 엘리자벳빌딩<br><br> 지번 서울시 강남구 청담동 83-12 엘리자벳빌딩,02-6052-6579,"https://mp-seoul-image-production-s3.mangoplate.com/397253/2221540_1667542915209_26395?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0416917,37.52670801
1914라운지바,서울특별시 강남구 테헤란로 231 조선팰리스 서울강남 F24<br><br> 지번 서울시 강남구 역삼동 676 조선팰리스 서울강남 F24,02-727-7640,"https://mp-seoul-image-production-s3.mangoplate.com/886722_1651035022090550.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0413565,37.50288135
겟올라잇,서울특별시 강남구 도산대로57길 18<br><br> 지번 서울시 강남구 청담동 89-5,02-547-0895,"https://mp-seoul-image-production-s3.mangoplate.com/54303_1500135025505638.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0416041,37.52472007
와인쉬어리,서울특별시 강남구 논현로36길 23 1F<br><br> 지번 서울시 강남구 도곡동 416-10 1F,02-6012-1382,"https://mp-seoul-image-production-s3.mangoplate.com/2925_1672138624598119.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0437463,37.48512453
도라지위스키,서울특별시 강남구 선릉로155길 11 B1<br><br> 지번 서울시 강남구 신사동 655-5 B1,070-8844-8825,"https://mp-seoul-image-production-s3.mangoplate.com/777980_1596858630792431.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0387428,37.52530219
동남방앗간,서울특별시 강남구 언주로154길 16 B1<br><br> 지번 서울시 강남구 신사동 631-25 B1,02-511-1224,"https://mp-seoul-image-production-s3.mangoplate.com/1354273_1559966025914765.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0346483,37.52328441
카이포라,서울특별시 강남구 도산대로55길 45 B1<br><br> 지번 서울시 강남구 청담동 84-24 B1,02-544-4389,"https://mp-seoul-image-production-s3.mangoplate.com/765226_1676947708382323.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0409061,37.52658926
먼데이블루스,서울특별시 서초구 강남대로53길 11 서초동삼성쉐르빌2 1F<br><br> 지번 서울시 서초구 서초동 1330 서초동삼성쉐르빌2 1F,02-521-0542,"https://mp-seoul-image-production-s3.mangoplate.com/218739/197534_144204338631011791?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0279164,37.49396164
스틸,서울특별시 강남구 선릉로152길 7 홍경빌딩 B1<br><br> 지번 서울시 강남구 청담동 85-7 홍경빌딩 B1,02-547-2016,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/433864_1449033171497.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0401667,37.52423601
미스터칠드런바,서울특별시 강남구 도산대로55길 43<br><br> 지번 서울시 강남구 청담동 84-25,02-545-8425,"https://mp-seoul-image-production-s3.mangoplate.com/259345/230933_1478269978017_39617?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0408688,37.5265017
앨리스,서울특별시 강남구 도산대로55길 47<br><br> 지번 서울시 강남구 청담동 84-20,02-511-8420,"https://mp-seoul-image-production-s3.mangoplate.com/550856_1534691851920501.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0409437,37.52667755
르캬바레도산,서울특별시 강남구 도산대로 216 청담에이든호텔 18F<br><br> 지번 서울시 강남구 논현동 60-8 청담에이든호텔 18F,02-6713-6730,"https://mp-seoul-image-production-s3.mangoplate.com/596640_1561011424158251.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0304791,37.51998374
와인웍스,서울특별시 강남구 테헤란로 517 현대백화점무역센터점<br><br> 지번 서울시 강남구 삼성동 159-7 현대백화점무역센터점,02-3467-6065,"https://mp-seoul-image-production-s3.mangoplate.com/450387/172778_1628320637418_107862?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0597651,37.50861513
어글리,서울특별시 강남구 강남대로96길 5 5F<br><br> 지번 서울시 강남구 역삼동 816-4 5F,02-501-4222,"https://mp-seoul-image-production-s3.mangoplate.com/358081/2314302_1666464954259_1000000216?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0274572,37.49982117
메리가든,서울특별시 강남구 봉은사로 113 호텔 더 디자이너스 리즈<br><br> 지번 서울시 강남구 논현동 201-11 호텔 더 디자이너스 리즈,02-517-9702,"https://mp-seoul-image-production-s3.mangoplate.com/618033_1509761540588583.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0258786,37.50526667
마녀주방,서울특별시 강남구 강남대로94길 9<br><br> 지번 서울시 강남구 역삼동 818-14,070-4240-1116,"https://mp-seoul-image-production-s3.mangoplate.com/188568/reviews/a419511b045f.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0280969,37.49948395
파복스,서울특별시 강남구 테헤란로1길 26<br><br> 지번 서울시 강남구 역삼동 817-10,02-3452-3489,"https://mp-seoul-image-production-s3.mangoplate.com/664/242283_1443539004791839583?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0276643,37.50002124
플랫나인,서울특별시 서초구 강남대로65길 10 5F<br><br> 지번 서울시 서초구 서초동 1308-15 5F,02-532-9630,"https://mp-seoul-image-production-s3.mangoplate.com/429590/1575751_1670541219448_49218?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.024952,37.50049298
데노체,서울특별시 강남구 압구정로2길 46 1F<br><br> 지번 서울시 강남구 신사동 510-11 1F,02-545-4005,"https://mp-seoul-image-production-s3.mangoplate.com/359571/1575751_1673802638145_50273?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0206916,37.51876726
오늘와인한잔,서울특별시 강남구 강남대로96길 11-4 B1<br><br> 지번 서울시 강남구 역삼동 817-16 B1,02-555-0535,"https://mp-seoul-image-production-s3.mangoplate.com/1959785_1674835780253594.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0280549,37.50010449
컬렉션라운지,서울특별시 강남구 압구정로10길 33<br><br> 지번 서울시 강남구 신사동 534,070-4229-0050,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/61216_1460534103322133.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0221963,37.52145738
아브라소812,서울특별시 강남구 봉은사로4길 29 B1<br><br> 지번 서울시 강남구 역삼동 812 B1,070-8810-0812,"https://mp-seoul-image-production-s3.mangoplate.com/16638_1422636895934?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0268617,37.50297717
와인코르크,서울특별시 강남구 테헤란로1길 28-9<br><br> 지번 서울시 강남구 역삼동 817-30,02-501-6335,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/365650_145541309019546.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0280794,37.50049885
월매네주막,서울특별시 서초구 강남대로 437 1F<br><br> 지번 서울시 서초구 서초동 1305-3 1F,02-537-6684,"https://mp-seoul-image-production-s3.mangoplate.com/77183/reviews/a3b46561d3a9.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0255112,37.50136341
고센,서울특별시 강남구 선릉로158길 18<br><br> 지번 서울시 강남구 청담동 88-23,02-515-1863,"https://mp-seoul-image-production-s3.mangoplate.com/1121/2.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0414324,37.52521046
엘세뇨르둘세,서울특별시 강남구 도산대로101길 22<br><br> 지번 서울시 강남구 청담동 128-6,02-516-6157,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/247128_145549738078784.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.052977,37.52628389
카페슬로우,서울특별시 서초구 서초대로77길 35 1F<br><br> 지번 서울시 서초구 서초동 1308-12 1F,02-3482-0111,"https://mp-seoul-image-production-s3.mangoplate.com/13557/47750_1420045487967?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0252737,37.500847
아실라,서울특별시 강남구 강남대로98길 16 파빌리온빌딩 B1<br><br> 지번 서울시 강남구 역삼동 817-35 파빌리온빌딩 B1,02-508-4665,"https://mp-seoul-image-production-s3.mangoplate.com/50829/470644_1477477944073_69319?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0279792,37.50073944
화이트바,서울특별시 강남구 압구정로80길 30 삼도빌딩 B1<br><br> 지번 서울시 강남구 청담동 93-14 삼도빌딩 B1,02-6207-7429,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1482949976701912.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0443298,37.52479981
더라이온스덴,서울특별시 강남구 선릉로158길 7<br><br> 지번 서울시 강남구 청담동 84-11,02-512-1136,"https://mp-seoul-image-production-s3.mangoplate.com/190219/449685_1591152143616_1591151886395.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0406882,37.52570834
문온더씨,서울특별시 강남구 삼성로82길 19 B1<br><br> 지번 서울시 강남구 대치동 956-28 B1,02-501-0111,"https://mp-seoul-image-production-s3.mangoplate.com/670644_1624616370998207.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0592319,37.50542881
바 밀라,서울특별시 강남구 삼성로149길 13 2F<br><br> 지번 서울시 강남구 청담동 12-12 2F,02-544-4761,"https://mp-seoul-image-production-s3.mangoplate.com/2337483_1665705676149857.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0465302,37.52319842
볼트82,서울특별시 강남구 압구정로72길 22<br><br> 지번 서울시 강남구 청담동 95-15,02-544-9234,"https://mp-seoul-image-production-s3.mangoplate.com/196606/449685_1600726338468_8403?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.044974,37.52500653
호사,서울특별시 강남구 선릉로148길 39<br><br> 지번 서울시 강남구 청담동 3-15,02-545-9259,"https://mp-seoul-image-production-s3.mangoplate.com/1476505_1649054752789882.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",127.0426943,37.52290299
